City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,kodiak,57.79,-152.4072,42.31,81,0,11.5,US,Mon Feb 19 15:19:26 2024
159,pisco,-13.7,-76.2167,82.45,65,0,12.66,PE,Mon Feb 19 15:19:27 2024
160,leamington,42.0549,-82.6062,36.91,36,64,8.01,CA,Mon Feb 19 15:19:27 2024
161,sept-iles,50.2001,-66.3821,15.8,48,20,12.66,CA,Mon Feb 19 15:19:28 2024
162,enewetak,11.3474,162.3373,79.09,64,35,18.41,MH,Mon Feb 19 15:19:28 2024
163,afif,23.9065,42.9172,59.7,18,7,9.98,SA,Mon Feb 19 15:19:29 2024
164,tura,25.5198,90.2201,60.42,43,0,3.29,IN,Mon Feb 19 15:19:29 2024
165,timimoun,29.2639,0.231,62.98,36,0,10.36,DZ,Mon Feb 19 15:19:30 2024
166,cadale,2.7603,46.3222,79.36,67,98,19.15,SO,Mon Feb 19 15:19:30 2024
167,butte,39.6499,-121.5677,57.22,82,100,10.36,US,Mon Feb 19 15:19:02 2024
168,olonkinbyen,70.9221,-8.7187,29.26,98,100,18.43,SJ,Mon Feb 19 15:19:31 2024
169,itamaraca,-7.7478,-34.8256,84.25,79,9,7.11,BR,Mon Feb 19 15:19:31 2024
170,sambalpur,21.45,83.9667,69.58,49,0,1.01,IN,Mon Feb 19 15:19:32 2024
171,kumertau,52.7667,55.7833,2.64,78,100,6.4,RU,Mon Feb 19 15:19:32 2024
172,stralsund,54.3091,13.0818,46.02,95,100,14.54,DE,Mon Feb 19 15:19:33 2024
173,chonchi,-42.6128,-73.8092,78.01,58,0,6.04,CL,Mon Feb 19 15:19:33 2024
174,nema,57.5067,50.5011,-1.3,100,99,1.48,RU,Mon Feb 19 15:19:33 2024
175,st. john's,47.5649,-52.7093,24.78,91,40,19.57,CA,Mon Feb 19 15:15:31 2024
176,mgandu,-5.95,34.1333,63.81,93,100,1.77,TZ,Mon Feb 19 15:19:34 2024
177,nuevo ideal,24.8875,-105.0728,74.64,8,0,2.62,MX,Mon Feb 19 15:19:35 2024
178,bereznik,62.8551,42.7072,18.12,90,97,9.24,RU,Mon Feb 19 15:19:35 2024
179,champerico,14.3,-91.9167,93.74,62,0,10.92,GT,Mon Feb 19 15:19:35 2024
180,tvoroyri,61.5556,-6.8111,45.25,97,100,23.94,FO,Mon Feb 19 15:19:37 2024
181,albany,42.6001,-73.9662,30.06,44,3,3.0,US,Mon Feb 19 15:15:10 2024
182,strezhevoy,60.7333,77.5889,-3.03,88,35,11.99,RU,Mon Feb 19 15:19:38 2024
183,imranli,39.8754,38.1136,29.08,87,87,1.88,TR,Mon Feb 19 15:19:38 2024
184,vila velha,-20.3297,-40.2925,76.95,95,40,3.44,BR,Mon Feb 19 15:17:28 2024
185,kone,-21.0595,164.8658,82.74,63,73,3.09,NC,Mon Feb 19 15:19:39 2024
186,puerto princesa,9.7392,118.7353,75.18,94,20,6.91,PH,Mon Feb 19 15:19:39 2024
187,naze,28.3667,129.4833,68.92,84,98,10.96,JP,Mon Feb 19 15:19:40 2024
188,floro,61.5996,5.0328,40.96,93,100,6.91,NO,Mon Feb 19 15:19:40 2024
189,codrington,-38.2667,141.9667,61.5,77,100,2.3,AU,Mon Feb 19 15:19:41 2024
190,kiama,-34.6833,150.8667,73.0,94,99,7.49,AU,Mon Feb 19 15:19:41 2024
191,longyearbyen,78.2186,15.6401,8.44,72,0,3.44,SJ,Mon Feb 19 15:19:42 2024
192,dongtai,32.8523,120.3095,37.92,87,100,13.47,CN,Mon Feb 19 15:19:42 2024
193,isangel,-19.55,169.2667,84.04,74,66,3.91,VU,Mon Feb 19 15:19:42 2024
194,puerto lempira,15.2667,-83.7667,80.74,78,75,16.11,HN,Mon Feb 19 15:19:43 2024
195,revelstoke,50.9832,-118.2023,39.22,52,95,3.44,CA,Mon Feb 19 15:17:10 2024
196,ha tinh,18.3333,105.9,73.08,80,0,2.91,VN,Mon Feb 19 15:19:44 2024
197,anadyr,64.75,177.4833,18.1,79,100,11.18,RU,Mon Feb 19 15:19:44 2024
198,walvis bay,-22.9575,14.5053,61.75,88,100,4.88,NA,Mon Feb 19 15:19:45 2024
199,kingston,17.997,-76.7936,82.2,86,40,9.22,JM,Mon Feb 19 15:15:37 2024
200,santiago de cao,-7.9589,-79.2392,77.13,78,75,12.66,PE,Mon Feb 19 15:19:45 2024
201,laojunmiao,39.8333,97.7333,12.81,67,94,3.36,CN,Mon Feb 19 15:19:46 2024
202,coquimbo,-29.9533,-71.3436,67.73,77,75,9.22,CL,Mon Feb 19 15:19:46 2024
203,lazaro cardenas,17.9583,-102.2,81.95,58,0,11.88,MX,Mon Feb 19 15:15:37 2024
204,ancud,-41.8697,-73.8203,66.24,76,21,3.18,CL,Mon Feb 19 15:19:47 2024
205,koksan,38.7819,126.6664,36.07,89,100,5.59,KP,Mon Feb 19 15:19:48 2024
206,axim,4.8699,-2.2405,81.7,86,58,6.69,GH,Mon Feb 19 15:19:49 2024
207,nazca,-14.8333,-74.95,83.37,58,98,9.75,PE,Mon Feb 19 15:19:50 2024
208,itaituba,-4.2761,-55.9836,75.16,98,100,1.7,BR,Mon Feb 19 15:19:30 2024
209,port mathurin,-19.6833,63.4167,79.21,69,87,21.77,MU,Mon Feb 19 15:19:52 2024
210,khambhaliya,22.2072,69.6683,68.68,91,70,7.92,IN,Mon Feb 19 15:19:52 2024
211,tarlungeni,45.6333,25.75,35.33,94,99,2.46,RO,Mon Feb 19 15:19:54 2024
212,thompson,55.7435,-97.8558,6.96,56,20,6.91,CA,Mon Feb 19 15:19:54 2024
213,neiafu,-18.65,-173.9833,83.08,83,75,12.66,TO,Mon Feb 19 15:19:55 2024
214,karratha,-20.7377,116.8463,84.0,75,99,7.63,AU,Mon Feb 19 15:19:55 2024
215,tuy hoa,13.0833,109.3,70.3,93,76,3.15,VN,Mon Feb 19 15:19:55 2024
216,okha,53.5739,142.9478,-21.98,91,10,12.95,RU,Mon Feb 19 15:16:40 2024
217,cidade velha,14.9167,-23.6167,77.47,57,0,20.71,CV,Mon Feb 19 15:19:56 2024
218,qacha's nek,-30.1154,28.6894,55.26,94,30,1.52,LS,Mon Feb 19 15:19:57 2024
219,gaspe,48.8334,-64.4819,19.31,45,20,11.5,CA,Mon Feb 19 15:19:57 2024
220,malkapur,20.8833,76.2,73.8,28,2,4.12,IN,Mon Feb 19 15:19:58 2024
221,utrik,11.2278,169.8474,79.86,82,60,15.86,MH,Mon Feb 19 15:19:58 2024
222,khilok,51.3674,110.4676,-26.72,98,66,3.44,RU,Mon Feb 19 15:19:58 2024
223,egilsstadir,65.2653,-14.3948,39.11,87,75,6.91,IS,Mon Feb 19 15:19:59 2024
224,kalabo,-14.97,22.6814,76.39,54,95,4.68,ZM,Mon Feb 19 15:19:59 2024
225,rongelap,11.1635,166.8941,79.45,82,67,17.25,MH,Mon Feb 19 15:20:00 2024
226,reggane,26.7158,0.1714,69.4,24,0,18.25,DZ,Mon Feb 19 15:20:00 2024
227,luderitz,-26.6481,15.1594,63.45,91,54,7.18,NA,Mon Feb 19 15:20:00 2024
228,picota,-6.9197,-76.3304,93.69,58,89,4.29,PE,Mon Feb 19 15:20:01 2024
229,luwuk,-0.9516,122.7875,77.27,72,42,2.48,ID,Mon Feb 19 15:20:03 2024
230,greymouth,-42.4667,171.2,59.58,48,35,3.09,NZ,Mon Feb 19 15:20:08 2024
231,fortuna,40.5982,-124.1573,53.98,96,75,14.97,US,Mon Feb 19 15:20:09 2024
232,jaguarari,-10.2639,-40.1958,77.43,73,100,3.67,BR,Mon Feb 19 15:20:10 2024
233,ixtapa,20.7,-105.2,80.22,65,0,10.36,MX,Mon Feb 19 15:20:10 2024
234,mhamid,29.82,-5.72,61.83,30,0,6.08,MA,Mon Feb 19 15:20:11 2024
235,saldanha,-33.0117,17.9442,65.66,86,1,7.14,ZA,Mon Feb 19 15:20:13 2024
236,lompoc,34.6391,-120.4579,65.84,67,20,13.8,US,Mon Feb 19 15:20:13 2024
237,kamaishi,39.2667,141.8833,54.14,93,97,8.19,JP,Mon Feb 19 15:20:14 2024
238,tidjikja,18.5564,-11.4271,71.64,18,0,14.03,MR,Mon Feb 19 15:20:14 2024
239,cascais,38.6979,-9.4215,65.52,86,96,13.0,PT,Mon Feb 19 15:20:15 2024
240,kristiansund,63.1115,7.732,38.05,75,100,5.75,NO,Mon Feb 19 15:20:15 2024
241,broome,42.2506,-75.833,27.7,63,0,12.66,US,Mon Feb 19 15:20:16 2024
242,constantia,44.1833,28.65,38.08,73,19,6.22,RO,Mon Feb 19 15:20:16 2024
243,kapa'a,22.0752,-159.319,76.98,53,100,19.57,US,Mon Feb 19 15:20:17 2024
244,ungureni-jianu,47.8833,26.7833,37.38,69,99,10.0,RO,Mon Feb 19 15:20:17 2024
245,vilyuchinsk,52.9306,158.4028,16.07,94,100,1.41,RU,Mon Feb 19 15:20:18 2024
246,linares,-35.85,-71.6,82.63,34,75,11.95,CL,Mon Feb 19 15:20:18 2024
247,novodvinsk,64.4165,40.8122,20.95,91,100,9.75,RU,Mon Feb 19 15:20:19 2024
248,parauna,-16.9478,-50.4486,72.28,93,99,6.76,BR,Mon Feb 19 15:20:20 2024
249,cimin,39.7101,39.7021,33.87,75,75,1.14,TR,Mon Feb 19 15:20:20 2024
250,cruzeiro do sul,-29.5128,-51.9853,72.68,93,100,5.44,BR,Mon Feb 19 15:20:21 2024
251,afaahiti,-17.75,-149.2833,85.87,80,92,8.1,PF,Mon Feb 19 15:20:21 2024
252,fuglafjordur,62.244,-6.814,45.07,94,100,14.5,FO,Mon Feb 19 15:20:23 2024
253,pemangkat,1.1667,108.9667,76.89,92,32,6.44,ID,Mon Feb 19 15:20:24 2024
254,san ignacio rio muerto,27.4167,-110.2333,81.12,16,1,13.27,MX,Mon Feb 19 15:20:24 2024
255,palapye,-22.546,27.1251,71.64,63,2,8.01,BW,Mon Feb 19 15:20:25 2024
256,oranjemund,-28.55,16.4333,64.22,93,0,2.46,NA,Mon Feb 19 15:20:25 2024
257,makinsk,52.6292,70.4169,-26.52,100,63,3.13,KZ,Mon Feb 19 15:20:26 2024
258,paradip garh,20.3167,86.6167,73.76,85,0,9.06,IN,Mon Feb 19 15:20:27 2024
259,gobabis,-22.45,18.9667,75.31,52,94,2.3,NA,Mon Feb 19 15:20:27 2024
260,badger,64.8,-147.5333,31.98,70,40,5.75,US,Mon Feb 19 15:20:28 2024
